Model #,Over Ratio,Under Ratio,Precision,Recall,F1
28,0.35,0.8,0.202708165,0.386115745,0.265847948
49,0.5,0.8,0.203365678,0.384575901,0.266045273
21,0.3,0.8,0.203715086,0.382779417,0.265911927
42,0.45,0.8,0.202929155,0.382266136,0.265118142
7,0.2,0.8,0.203107886,0.380726293,0.264898888
35,0.4,0.8,0.203250346,0.377133325,0.26414416
14,0.25,0.8,0.20314013,0.376876684,0.263988135
41,0.45,0.75,0.205074507,0.326703452,0.251979414
6,0.2,0.75,0.205464927,0.323238804,0.251234229
34,0.4,0.75,0.205759291,0.321827281,0.251025923
48,0.5,0.75,0.20600823,0.321185679,0.251015394
20,0.3,0.75,0.205933251,0.320672398,0.25080289
13,0.25,0.75,0.205799736,0.319645836,0.250389506
27,0.35,0.75,0.206192413,0.318747594,0.250403226
47,0.5,0.7,0.212524302,0.266521237,0.236479563
33,0.4,0.7,0.211734694,0.266264596,0.235889274
26,0.35,0.7,0.211128127,0.265366354,0.235160337
19,0.3,0.7,0.21499159,0.262414988,0.236347876
40,0.45,0.7,0.210526316,0.260746824,0.232960734
5,0.2,0.7,0.212563452,0.257923778,0.233056989
12,0.25,0.7,0.212474371,0.252662646,0.230832356
46,0.5,0.65,0.22301542,0.200436289,0.211123876
4,0.2,0.65,0.224230158,0.199024766,0.210876954
25,0.35,0.65,0.224377533,0.198896446,0.210870009
18,0.3,0.65,0.222609706,0.19658668,0.20879046
32,0.4,0.65,0.22439096,0.196201719,0.209351681
39,0.45,0.65,0.225339634,0.195816759,0.209543426
11,0.25,0.65,0.225277162,0.195560118,0.209369419
24,0.35,0.6,0.238197008,0.157320672,0.189489954
31,0.4,0.6,0.238221497,0.149878096,0.183994959
10,0.25,0.6,0.235936868,0.149621455,0.183117393
38,0.45,0.6,0.238398357,0.148979854,0.18336887
45,0.5,0.6,0.238134544,0.148081612,0.182609384
17,0.3,0.6,0.236842105,0.145515206,0.180271838
3,0.2,0.6,0.236157718,0.144488644,0.179285089
44,0.5,0.55,0.248407643,0.110098807,0.15257402
16,0.3,0.55,0.245803357,0.105222636,0.147362746
2,0.2,0.55,0.246082949,0.10278455,0.145003621
30,0.4,0.55,0.250626566,0.10265623,0.145653163
23,0.35,0.55,0.247828784,0.10252791,0.145048561
37,0.45,0.55,0.2471875,0.101501347,0.143909761
9,0.25,0.55,0.250251931,0.095598614,0.138347261
8,0.25,0.5,0.270718232,0.069164635,0.110179886
22,0.35,0.5,0.275132275,0.066726549,0.10740473
29,0.4,0.5,0.270744681,0.065315026,0.105241394
15,0.3,0.5,0.269541779,0.064160144,0.103648425
36,0.45,0.5,0.260869565,0.063903503,0.102659246
1,0.2,0.5,0.271660145,0.06236366,0.1014402
43,0.5,0.5,0.270330903,0.061850379,0.100668338
